Country,,Region,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,net consumption,Europe,1.443,1.727,2.017,2.152,2.79,2.084,2.2,3.482,3.68836,3.48978,4.48556,4.04258,4.0516,5.1278,3.16042,3.58068,5.06626,5.42946,4.44145,6.54566,6.78935,7.25992,6.62569,5.98605,7.50528,6.119331,6.39826,6.500145,6.65637,7.415870874
Albania,net generation,Europe,3.31,3.441,3.858,4.359,5.857,5.125,5.01,5.337,4.68336,3.64778,3.64056,5.21758,5.5426,5.3848,5.03842,2.82768,3.8311,5.20187,7.49277,4.14694,4.67865,6.89041,4.67776,5.83705,7.70618,4.48075,8.46748,5.17594,5.313,8.962943
Albania,net imports,Europe,-0.456,-0.059,0.002,0.076,-0.18,-0.128,0.379,0.358,1.078,1.731,2.142,0.916,0.477,0.371,0.611,2.838,2.434,1.478,-1.93,3.475,3.23,2.323,3.067,1.399,1.785,2.914628,-0.91352,2.406035,2.276,-0.548
Algeria,GDP,Africa,48003078388.5401,49945599428.5812,42543178042.4148,41764315330.4366,46941582519.4661,48177612042.1507,48187747528.899,48640653469.3025,54790392746.1939,54744712814.8676,56760355865.0082,67863828412.6882,85332581188.6107,103198223709.439,117027307540.89,134977082623.78,171000699876.747,137211035770.034,161207270185.25,200013052199.2,209058991952.125,209755003250.664,213810024944.464,165979279263.174,160034163871.455,170097014589.134,174910878623.049,171767403748.19,145009181490.62,
Algeria,GDP_growth,Africa,1.80000230318846,-2.10000075787545,-0.899996552472246,3.79999478984085,4.09999846994822,1.09999993930808,5.10000360904218,3.20000155179186,3.80000000000086,2.99999999999967,5.5999999999997,7.20000000000044,4.29999999999957,5.89999999999995,1.70000000000063,3.39999999999938,2.40000000000033,1.60000000000007,3.59999999999978,2.90000000000026,3.39999999999982,2.8,3.79999999999998,3.70000000000022,3.19999999999973,1.29999999999994,1.09999999999995,0.999999999999915,-5.09999999999982,
Algeria,GDP_per_capita,Africa,1776.0282780527,1807.29745090643,1507.88666269017,1452.27843429531,1603.9403022019,1619.79774865029,1596.00392574042,1588.34890767221,1765.02714611601,1740.60665427662,1781.82890798394,2103.38129106939,2610.18542243488,3113.09488313746,3478.71000237566,3950.5129931247,4923.63161541179,3883.27090043586,4480.78631766464,5455.67940349747,5592.22011465753,5499.58733105334,5493.05669453687,4177.8895415169,3946.45244712537,4109.69821695727,4142.01855842917,3989.66827645236,3306.85820838104,
Algeria,GDP_per_capita_growth,Africa,-0.564788752939847,-4.25098663738072,-2.9311165968948,1.83641056126194,2.2908233481653,-0.519902352630268,3.53436852700297,1.74870316034944,2.39949654403225,1.65967258872379,4.26207201293576,5.84090513563409,2.93454162226593,4.43825778015616,0.214792143410605,1.80825261796593,0.738194544500629,-0.134681878430399,1.74679065506871,0.980209993399853,1.40174755982498,0.761699380455809,1.71045490345108,1.60049369689222,1.10457015563286,-0.750456691887635,-0.909245791015422,-0.934555885396762,-6.82696362319118,
Algeria,PPP,Africa,189352392099.66,189770030942.639,192078030027.636,203557722609.973,215783472692.771,222058101995.973,236009847302.676,247078725218.762,262200986944.893,275990734942.795,296056204527.986,323266156103.441,346243840928.989,378093856037.232,396157857604.801,420630954507.825,439104287291.437,449531027555.169,471140881148.338,494931055076.358,497330252318.817,497988213510.825,506135102251.566,477357607218.836,471383269260.918,485801342039.043,502937459259.169,517034811595.932,496579551594.759,
Algeria,PPP_per_capita,Africa,7005.70076285362,6866.88911745849,6807.95166232568,7078.35117951258,7373.07499715188,7465.89958356471,7816.77214903166,8068.2966884468,8446.58774102862,8775.11790745312,9293.83714349081,10019.3578919395,10591.0381897757,11405.6425223873,11776.0404022627,12311.0384280957,12643.1514779138,12722.3786946243,13095.449178663,13500.0447902878,13303.3275185881,13056.8025915699,13003.2668603131,12015.6405282427,11624.3407751545,11737.4012353821,11909.9298247204,12009.248207942,11324.2358133821,
Algeria,distribution losses,Africa,2.228,3.029,3.214,3.34,3.815,4.373,4.581,4.73,4.105,4.337,4.346,4.209,4.976,4.475,6.295,6.647,7.287,7.859,9.091,9.899,11.068,11.023,11.003,11.196,10.682,10.869,9.904,9.897,8.98001,8.770749362
