Country,Best_p,MSE,MAE,R2,Beta,Train,Test,Predictions
Mauritania,1,1.476009895483604e+19,3369342402.595157,-34.667361807583646,[-5.25469876e+07  1.09436217e+00],"[2.16429221e+09 1.84735061e+09 1.94487676e+09 2.09173142e+09
 2.13208188e+09 2.07200107e+09 2.03234583e+09 1.98592439e+09
 1.77952334e+09 1.74606472e+09 1.77705859e+09 2.05114761e+09
 2.36250102e+09 2.93601953e+09 3.91957729e+09 4.34620681e+09
 5.20644441e+09 4.71459249e+09 5.62888227e+09 6.76463569e+09
 6.72820884e+09]","[7.22306317e+09 6.59253778e+09 6.16685763e+09 6.39874451e+09
 6.79907542e+09 7.35443004e+09 7.88966245e+09 7.91368023e+09
 7.91368023e+09]","[np.float64(7310550216.570181), np.float64(7947842591.686363), np.float64(8645271256.532394), np.float64(9408510801.74152), np.float64(10243771284.617767), np.float64(11157848756.931528), np.float64(12158180560.62744), np.float64(13252905841.355104), np.float64(14450931772.18772)]"
Mauritius,6,7.044983352367841e+18,1996157647.226399,-4.407042936936864,"[ 2.93584638e+08  8.19101123e-01 -8.71594896e-02  5.11654284e-01
  3.76423521e-01 -6.43569364e-01  3.12413620e-02]","[3.22426755e+09 3.26336841e+09 3.55813704e+09 4.04034593e+09
 4.42194391e+09 4.18736760e+09 4.16966429e+09 4.34371033e+09
 4.66331362e+09 4.61363062e+09 4.84131024e+09 5.81655383e+09
 6.57884449e+09 6.48875045e+09 7.02880337e+09 8.15013876e+09
 9.99037002e+09 9.12884311e+09 1.00036707e+10 1.15183934e+10
 1.16686855e+10]","[1.21296423e+10 1.28034459e+10 1.16922871e+10 1.22324637e+10
 1.32593514e+10 1.41819511e+10 1.40458088e+10 1.09206062e+10
 1.09206062e+10]","[np.float64(11227338362.25252), np.float64(12568994697.90794), np.float64(13763561868.261436), np.float64(13508353130.495752), np.float64(13666122832.86615), np.float64(15222565292.400185), np.float64(15925545268.134668), np.float64(15623483535.628529), np.float64(16372106164.898533)]"
Mexico,1,2.5844131391371154e+22,137245711926.79422,-2.30769934134715,[7.59282741e+10 9.53673489e-01],"[3.63157598e+11 5.00736066e+11 5.27813238e+11 3.60073909e+11
 4.10975595e+11 5.00413483e+11 5.26502129e+11 6.00232874e+11
 7.07906745e+11 7.56706301e+11 7.72106379e+11 7.29336320e+11
 7.82240602e+11 8.77476221e+11 9.75387132e+11 1.05269628e+12
 1.10998906e+12 9.00045351e+11 1.05780130e+12 1.18048960e+12
 1.20108999e+12]","[1.27444308e+12 1.31535118e+12 1.17186761e+12 1.07849065e+12
 1.15891304e+12 1.22240820e+12 1.26943393e+12 1.07391588e+12
 1.07391588e+12]","[np.float64(1221375952559.8345), np.float64(1240722140097.6643), np.float64(1259172086265.1265), np.float64(1276767310797.951), np.float64(1293547409967.3728), np.float64(1309550145687.531), np.float64(1324811530494.8323), np.float64(1339365908590.5188), np.float64(1353246033128.8145)]"
Moldova,6,9.501143690707415e+18,2408060002.39862,-2.81621007930831,"[ 5.03533455e+08  7.25787042e-01  3.82384997e-01  6.03756458e-01
  2.32005763e-01 -1.47197285e+00  3.62609624e-01]","[1.75297993e+09 1.75297993e+09 1.75297993e+09 1.75297993e+09
 1.69512217e+09 1.93008117e+09 1.69871750e+09 1.17078296e+09
 1.28842939e+09 1.48067359e+09 1.66181817e+09 1.98090743e+09
 2.59824956e+09 2.98834884e+09 3.40824455e+09 4.40118947e+09
 6.05484988e+09 5.43942203e+09 6.97496035e+09 8.41436066e+09
 8.70916525e+09]","[9.49668470e+09 9.51021930e+09 7.74523166e+09 8.07148054e+09
 9.66975999e+09 1.14567284e+10 1.19702339e+10 1.19155473e+10
 1.19155473e+10]","[np.float64(8198551634.67102), np.float64(10671510987.756588), np.float64(10299610428.04721), np.float64(9173465264.799145), np.float64(9676510428.712534), np.float64(10818704892.628864), np.float64(7248568830.048786), np.float64(6580759350.580055), np.float64(7060022460.015489)]"
Mongolia,1,1.6090689801524247e+21,31797377004.529305,-1746.5456249776864,[-1.56325605e+08  1.25855561e+00],"[1.31761186e+09 7.68401634e+08 9.25817092e+08 1.45216501e+09
 1.34571947e+09 1.18093420e+09 1.12444025e+09 1.05740859e+09
 1.13689612e+09 1.26799793e+09 1.39655572e+09 1.59529736e+09
 1.99206681e+09 2.52347153e+09 3.41405557e+09 4.23499982e+09
 5.62321645e+09 4.58385037e+09 7.18948182e+09 1.04097976e+10
 1.22927706e+10]","[1.25821226e+10 1.22265147e+10 1.16198924e+10 1.11813505e+10
 1.14808477e+10 1.31780945e+10 1.42063590e+10 1.33129816e+10
 1.33129816e+10]","[np.float64(15314809834.04238), np.float64(19118214226.054535), np.float64(23905010160.255413), np.float64(29929459036.58432), np.float64(37511562966.31026), np.float64(47054062401.74358), np.float64(59063828598.46423), np.float64(74178787218.66815), np.float64(93201803183.19707)]"
Morocco,2,3.5943616661921755e+19,5376777788.651808,0.026553604525697327,[ 3.03125428e+09  1.21228491e+00 -2.17492260e-01],"[3.37110694e+10 3.16554737e+10 3.56041374e+10 3.90302855e+10
 4.31614527e+10 3.91478445e+10 4.18062194e+10 4.16320276e+10
 3.88572513e+10 3.94595812e+10 4.22368368e+10 5.20640588e+10
 5.96260202e+10 6.23430227e+10 6.86408255e+10 7.90412949e+10
 9.25072578e+10 9.28973204e+10 9.32167467e+10 1.01370474e+11
 9.82663066e+10]","[1.06825650e+11 1.10081249e+11 1.01179808e+11 1.03311649e+11
 1.09682728e+11 1.18096227e+11 1.19870439e+11 1.14725065e+11
 1.14725065e+11]","[np.float64(100110721233.16772), np.float64(103021809682.4055), np.float64(106149732372.41237), np.float64(109308526637.94188), np.float64(112457586279.52815), np.float64(115588130454.69534), np.float64(118698345814.71526), np.float64(121787943829.56516), np.float64(124856969107.96555)]"
Mozambique,4,3.033682613260397e+19,5023114772.75587,-9.214031663645523,"[ 5.82658622e+08  1.24883435e+00 -1.24707515e+00  1.67155909e+00
 -6.46131612e-01]","[2.63995323e+09 2.72955059e+09 2.79654998e+09 2.89992284e+09
 3.85679984e+09 4.64883218e+09 5.26387752e+09 5.97640804e+09
 5.65647365e+09 5.39856854e+09 5.67700324e+09 6.30339114e+09
 7.63112053e+09 8.54207011e+09 9.17688907e+09 1.04508433e+10
 1.25561952e+10 1.19144715e+10 1.11046487e+10 1.43815524e+10
 1.63508045e+10]","[1.69743206e+10 1.77160841e+10 1.59509690e+10 1.19369993e+10
 1.32190843e+10 1.48458701e+10 1.53847018e+10 1.40194466e+10
 1.40194466e+10]","[np.float64(13930988191.487888), np.float64(14454023433.696945), np.float64(19299310820.875385), np.float64(19380745846.00803), np.float64(15877811356.776085), np.float64(19162905419.85827), np.float64(24639296410.20182), np.float64(21473662697.21407), np.float64(18445425003.0233)]"
Myanmar,1,1.8089525867918802e+22,108448810870.31912,-338.3072888349637,[6.96407669e+07 1.21528489e+00],"[2.21607333e+09 2.80974839e+09 3.82153578e+09 4.87925932e+09
 5.75962474e+09 5.63307171e+09 4.61307097e+09 5.64381869e+09
 6.84932165e+09 6.22027106e+09 6.11063315e+09 7.75464743e+09
 9.39085530e+09 1.05884331e+10 1.18630163e+10 1.55911825e+10
 2.30130158e+10 2.94551656e+10 3.77960529e+10 5.41186020e+10
 5.83186776e+10]","[6.05722544e+10 6.32648919e+10 6.30453065e+10 6.02917389e+10
 6.14493919e+10 6.71447262e+10 6.86977615e+10 7.98520466e+10
 7.98520466e+10]","[np.float64(70943448438.24744), np.float64(86286141606.75009), np.float64(104931884766.52116), np.float64(127591774667.3292), np.float64(155129996443.57758), np.float64(188596781230.15317), np.float64(229268459054.9351), np.float64(278696134513.80963), np.float64(338764841582.9635)]"
Namibia,2,5.355856843358418e+19,6431195001.433884,-48.13617695468409,[ 1.30681227e+08  1.28721826e+00 -2.42767678e-01],"[3.42953853e+09 3.25123062e+09 3.66650146e+09 3.97849775e+09
 3.98920866e+09 4.15495569e+09 3.87309866e+09 3.86854160e+09
 3.92224799e+09 3.55733336e+09 3.34918476e+09 4.92647129e+09
 6.60919883e+09 7.24839416e+09 8.00177955e+09 8.83952645e+09
 8.60747531e+09 8.93886817e+09 1.14313344e+10 1.25234023e+10
 1.30420074e+10]","[1.20432764e+10 1.24354161e+10 1.13351796e+10 1.07219947e+10
 1.28951532e+10 1.36820622e+10 1.24967817e+10 1.06191945e+10
 1.06191945e+10]","[np.float64(13878314004.958912), np.float64(14828922537.206501), np.float64(15849534991.01542), np.float64(16932508949.402306), np.float64(18078761085.56298), np.float64(19291326689.796875), np.float64(20573890304.57126), np.float64(21930457869.842743), np.float64(23365291416.842957)]"
Nepal,1,3.1406097829545155e+20,14678320421.327524,-12.250628919091154,[-1.99232181e+08  1.14236935e+00],"[3.40121158e+09 3.66004167e+09 4.06677551e+09 4.40110442e+09
 4.52158038e+09 4.91869192e+09 4.85625504e+09 5.03364238e+09
 5.49425221e+09 6.00705504e+09 6.05087581e+09 6.33047310e+09
 7.27393831e+09 8.13025804e+09 9.04371536e+09 1.03256180e+10
 1.25454386e+10 1.28549855e+10 1.60026564e+10 2.16217100e+10
 2.17031065e+10]","[2.21622090e+10 2.27316030e+10 2.43607954e+10 2.45240982e+10
 2.89715892e+10 3.31115252e+10 3.41861807e+10 3.36571756e+10
 3.36571756e+10]","[np.float64(24593731588.39128), np.float64(27895893102.3361), np.float64(31668181220.007458), np.float64(35977527562.58684), np.float64(40900392762.96975), np.float64(46524123105.014), np.float64(52948500306.64227), np.float64(60287511944.56486), np.float64(68671373933.227646)]"
Netherlands,2,3.355805701132161e+21,55109659951.59422,-0.09197884554596159,[ 5.60419710e+10  1.18814064e+00 -2.51307161e-01],"[3.62962872e+11 3.53550170e+11 3.79130260e+11 4.52301674e+11
 4.50490196e+11 4.16812740e+11 4.38008220e+11 4.46898572e+11
 4.16442786e+11 4.31213423e+11 4.71613966e+11 5.78792325e+11
 6.57171592e+11 6.85092650e+11 7.33340861e+11 8.47481522e+11
 9.47997656e+11 8.68077244e+11 8.46554895e+11 9.04085981e+11
 8.38971307e+11]","[8.76923519e+11 8.90981311e+11 7.65264950e+11 7.83528182e+11
 8.31809945e+11 9.13597086e+11 9.10194348e+11 9.13865396e+11
 9.13865396e+11]","[np.float64(825654596294.8396), np.float64(826196254904.9026), np.float64(830186406266.0962), np.float64(834791144572.8407), np.float64(839259467685.1576), np.float64(843411260260.7754), np.float64(847221252156.9482), np.float64(850704683165.3313), np.float64(853886010869.5642)]"
New Zealand,2,1.1996024565078874e+21,29475746168.625706,-7.548966618497776,[ 3.53124181e+09  1.12031673e+00 -9.06680316e-02],"[4.16498299e+10 4.67756208e+10 5.53147323e+10 6.39187035e+10
 7.01408353e+10 6.60751434e+10 5.62271699e+10 5.87622606e+10
 5.26232820e+10 5.38724259e+10 6.66277293e+10 8.82508856e+10
 1.03905210e+11 1.14720130e+11 1.11538811e+11 1.37188947e+11
 1.33131370e+11 1.21373602e+11 1.46517541e+11 1.68291357e+11
 1.76206660e+11]","[1.90906575e+11 2.01313497e+11 1.78064471e+11 1.88943457e+11
 2.06950601e+11 2.12225727e+11 2.12891048e+11 2.10700849e+11
 2.10700849e+11]","[np.float64(185679865157.53992), np.float64(195575190818.5524), np.float64(205802172849.73123), np.float64(216362442252.16702), np.float64(227266028443.41663), np.float64(238524019668.13754), np.float64(250147928924.81613), np.float64(262149649068.99182), np.float64(274541460004.8233)]"
Nicaragua,2,8.338099339062318e+17,801493758.115275,-0.439613237408611,[6.00433642e+08 8.95163924e-01 8.73279010e-02],"[1.79280000e+09 1.75645425e+09 3.86318512e+09 4.14047000e+09
 4.30835190e+09 4.38996559e+09 4.63526722e+09 4.85571787e+09
 5.10732901e+09 5.32314657e+09 5.22421302e+09 5.32245493e+09
 5.79556820e+09 6.32133561e+09 6.76341865e+09 7.42342196e+09
 8.49694661e+09 8.29867991e+09 8.75859227e+09 9.77426274e+09
 1.05320066e+10]","[1.09829793e+10 1.18804341e+10 1.27567066e+10 1.32860836e+10
 1.37858766e+10 1.30252399e+10 1.26112186e+10 1.26215054e+10
 1.26215054e+10]","[np.float64(10881871858.267654), np.float64(11261230789.952631), np.float64(11631372217.931597), np.float64(11995838090.424805), np.float64(12354418465.144821), np.float64(12707234720.233402), np.float64(13054377175.204954), np.float64(13395937280.528793), np.float64(13732004786.779537)]"
Niger,6,7.104548990679926e+17,646293881.6904649,0.679254186461213,"[ 4.32114515e+08  1.25337486e+00 -5.22284883e-01  7.08804305e-01
 -5.20231295e-01  5.21002241e-01 -4.97980290e-01]","[3.38623259e+09 3.05267362e+09 1.93805816e+09 2.30253768e+09
 2.40568708e+09 2.29031880e+09 2.64336341e+09 2.53779002e+09
 2.24175312e+09 2.44871468e+09 2.78219299e+09 3.39408488e+09
 3.76044397e+09 4.38331566e+09 4.75636148e+09 5.73148527e+09
 7.29760090e+09 7.35213167e+09 7.85119190e+09 8.77295126e+09
 9.42691335e+09]","[1.02248979e+10 1.08629442e+10 9.68386789e+09 1.03988622e+10
 1.11851024e+10 1.28086605e+10 1.29164552e+10 1.37413785e+10
 1.37413785e+10]","[np.float64(10353640274.946327), np.float64(10815858189.377338), np.float64(11128034364.248764), np.float64(11826271731.03925), np.float64(12265587414.662642), np.float64(12589513995.313438), np.float64(12877902150.004202), np.float64(12950791650.99437), np.float64(13100909184.03902)]"
Nigeria,3,1.7699049598943936e+23,346239188826.96124,-62.45989381393944,[ 9.57931983e+09  8.28047246e-01  3.99014155e-01 -1.15412625e-01],"[4.77949258e+10 2.77522043e+10 3.38330430e+10 4.40624658e+10
 5.10758151e+10 5.44578352e+10 5.46040502e+10 5.93726135e+10
 6.94487569e+10 7.40303645e+10 9.53858193e+10 1.04911948e+11
 1.36385979e+11 1.76134087e+11 2.36103982e+11 2.75625685e+11
 3.39476216e+11 2.95008767e+11 3.61456622e+11 4.04993594e+11
 4.55501525e+11]","[5.08692962e+11 5.46676375e+11 4.86803295e+11 4.04650006e+11
 3.75746470e+11 3.97190484e+11 4.48120429e+11 4.32293776e+11
 4.32293776e+11]","[np.float64(506637622139.4154), np.float64(564109389892.3408), np.float64(626273502850.3286), np.float64(694778623005.027), np.float64(769675492537.6746), np.float64(851853628293.4384), np.float64(941879562686.9216), np.float64(1040571484848.0616), np.float64(1148730287011.5454)]"
North Macedonia,1,5.299607116659853e+17,604552314.4738897,0.32102486965008137,[4.70712709e+08 9.81259598e-01],"[2.43684934e+09 2.68245690e+09 3.55960724e+09 4.70703610e+09
 4.64201835e+09 3.91298609e+09 3.76574730e+09 3.86362119e+09
 3.77285715e+09 3.70963783e+09 4.01836525e+09 4.94629277e+09
 5.68278827e+09 6.25860071e+09 6.86122233e+09 8.33647814e+09
 9.90954841e+09 9.40173150e+09 9.40716870e+09 1.04946327e+10
 9.74525113e+09]","[1.08177121e+10 1.13622728e+10 1.00645154e+10 1.06724719e+10
 1.13070584e+10 1.26830701e+10 1.26063384e+10 1.22637101e+10
 1.22637101e+10]","[np.float64(10033333906.86972), np.float64(10316017900.47768), np.float64(10593404282.280577), np.float64(10865592331.655638), np.float64(11132679467.444605), np.float64(11394761282.820919), np.float64(11651931579.503483), np.float64(11904282401.329235), np.float64(12151904067.196566)]"
Norway,1,8.756017499212734e+22,261363468664.21967,-27.156585319693537,[8.25754202e+09 1.04239064e+00],"[1.30838040e+11 1.20579073e+11 1.27131461e+11 1.52029612e+11
 1.63520109e+11 1.61356632e+11 1.54163364e+11 1.62284465e+11
 1.71247131e+11 1.73972219e+11 1.95524186e+11 2.28858507e+11
 2.64511631e+11 3.08884284e+11 3.45581370e+11 4.00937100e+11
 4.62250000e+11 3.86190385e+11 4.28757038e+11 4.98283438e+11
 5.09506317e+11]","[5.22761532e+11 4.98410050e+11 3.85801550e+11 3.68827143e+11
 3.98393955e+11 4.36999693e+11 4.04941364e+11 3.62198318e+11
 3.62198318e+11]","[np.float64(539362160062.40045), np.float64(570483611385.945), np.float64(602924321072.5992), np.float64(636740213333.948), np.float64(671989583044.9186), np.float64(708733196237.7273), np.float64(747034394855.828), np.float64(786959205948.4482), np.float64(828576455493.9524)]"
Oman,1,1.1002458312629025e+22,87553323113.82625,-202.07903799145194,[-7.90430162e+07  1.13195197e+00],"[1.24522757e+10 1.24931079e+10 1.29188557e+10 1.38026008e+10
 1.52777633e+10 1.58374512e+10 1.39969147e+10 1.55934562e+10
 1.95074525e+10 1.94520005e+10 2.01427560e+10 2.16337082e+10
 2.47637129e+10 3.10819917e+10 3.72157797e+10 4.20853795e+10
 6.09054525e+10 4.83883636e+10 6.49934980e+10 7.74975293e+10
 8.74088427e+10]","[8.99360208e+10 9.26990897e+10 7.87107932e+10 7.51287386e+10
 8.08566970e+10 9.15058518e+10 8.80608583e+10 7.39713914e+10
 7.39713914e+10]","[np.float64(98863568624.00557), np.float64(111829768253.44432), np.float64(126506883467.9868), np.float64(143120672949.6685), np.float64(161926684683.3742), np.float64(183214186714.03546), np.float64(207310616574.98358), np.float64(234586617827.13968), np.float64(265461741179.473)]"
